Sample,Interpretation,Type,Coordination,Class,Formula,Standard,Ox state,Temp [K],HWHM [mm/s],IS [mm/s],IS error [mm/s],QS [mm/s],QS error [mm/s],Qshift [mm/s],Calculated,Bhf [T],Bhf error [T],Site,Nsites,RA [%],Model,SampleID,Title,Author,Date,Publication type,doi,URL
Goethite,Goethite,Mineral,,Hydroxides and Oxides containing hydroxyl,alpha-FeO(OH),Fe(0),3,295,,0.37,,-0.26,,-0.13,Y,38,,1,1,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Goethite,Goethite,Mineral,,Hydroxides and Oxides containing hydroxyl,alpha-FeO(OH),Fe(0),3,4.2,,0.48,,-0.25,,-0.125,Y,50.6,,1,1,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Lepidocrocite,Lepidocrocite,Mineral,,Hydroxides and Oxides containing hydroxyl,gamma-FeO(OH),Fe(0),3,294,,0.37,,0.53,,,,,,1,1,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Lepidocrocite,Lepidocrocite,Mineral,,Hydroxides and Oxides containing hydroxyl,gamma-FeO(OH),Fe(0),3,4.2,,0.47,,0.02,,0.01,Y,45.8,,1,1,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Lepidocrocite,Lepidocrocite,Mineral,,Hydroxides and Oxides containing hydroxyl,gamma-FeO(OH),Fe(0),3,4.2,,0.25,,0.02,,0.01,Y,45.4,,1,1,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Akageneite,Akageneite,Mineral,,Hydroxides and Oxides containing hydroxyl,beta-FeO(OH),Fe(0),3,295,,0.38,,0.55,,,,,,1,2,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Akageneite,Akageneite,Mineral,,Hydroxides and Oxides containing hydroxyl,beta-FeO(OH),Fe(0),3,295,,0.37,,0.95,,,,,,2,2,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Akageneite,Akageneite,Mineral,,Hydroxides and Oxides containing hydroxyl,beta-FeO(OH),Fe(0),3,4.2,,0.49,,-0.02,,-0.01,Y,48.9,,1,3,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Akageneite,Akageneite,Mineral,,Hydroxides and Oxides containing hydroxyl,beta-FeO(OH),Fe(0),3,4.2,,0.49,,-0.24,,-0.12,Y,47.8,,2,3,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
Akageneite,Akageneite,Mineral,,Hydroxides and Oxides containing hydroxyl,beta-FeO(OH),Fe(0),3,4.2,,0.49,,-0.81,,-0.405,Y,47.3,,3,3,,,,The Iron Oxides,R. M. Cornell and U. Schwertmann,2003,book,10.1002/3527602097,https://onlinelibrary.wiley.com/doi/book/10.1002/3527602097
