Sample,Interpretation,Type,Coordination,Class,Formula,Standard,Ox state,Temp [K],HWHM [mm/s],IS [mm/s],IS error [mm/s],QS [mm/s],QS error [mm/s],Qshift [mm/s],Calculated,Bhf [T],Bhf error [T],Site,Nsites,RA [%],Model,SampleID,Title,Author,Date,Publication type,doi,URL
Pumpellyite,Pumpellyite,Mineral,,,,,,295.0,,1.2,,2.56,,,,,,3,4,,,S0083,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Pumpellyite,Pumpellyite,Mineral,,,,,,295.0,,1.09,,3.33,,,,,,4,4,,,S0083,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Epidote,Epidote,Mineral,M,,,,,295.0,,1.07,,1.62,,,,,,1,3,,,S0084,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Epidote,Epidote,Mineral,M,,,,,295.0,,0.36,,1.78,,,,,,2,3,,,S0084,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Epidote,Epidote,Mineral,M,,,,,295.0,,0.33,,0.85,,,,,,3,3,,,S0084,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Ferroaxinite,Ferroaxinite,Mineral,,,,,,295.0,,1.3,,2.12,,,,,,1,2,,,S0085,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Ferroaxinite,Ferroaxinite,Mineral,,,,,,295.0,,0.57,,0.39,,,,,,2,2,,,S0085,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,T,,,,,295.0,,0.17,,0.51,,,,,,1,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,Y,,,,,295.0,,0.43,,0.82,,,,,,2,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,ED,,,,,295.0,,0.77,,1.21,,,,,,3,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,Y,,,,,295.0,,1.09,,2.47,,,,,,4,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,Y,,,,,295.0,,1.09,,2.19,,,,,,5,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Schorl (tourmaline),Schorl (tourmaline),Mineral,Y,,,,,295.0,,1.07,,1.6,,,,,,6,6,,,S0086,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Beryl,Beryl,Mineral,,,,,,295.0,,1.16,,2.7,,,,,,1,2,,,S0087,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Beryl,Beryl,Mineral,,,,,,295.0,,0.59,,0.86,,,,,,2,2,,,S0087,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Cordierite,Cordierite,Mineral,,,,,,295.0,,1.19,,2.3,,,,,,1,1,,,S0088,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Ferrosilite,Ferrosilite,Mineral,M1,,,,,295.0,,1.18,,2.49,,,,,,1,2,,,S0089,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Ferrosilite,Ferrosilite,Mineral,M2,,,,,295.0,,1.13,,1.91,,,,,,2,2,,,S0089,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Hedenbergite,Hedenbergite,Mineral,M1,,,,,295.0,,1.18,,2.21,,,,,,1,2,,,S0090,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Hedenbergite,Hedenbergite,Mineral,M1,,,,,295.0,,0.34,,0.68,,,,,,2,2,,,S0090,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Diopside,Diopside,Mineral,M1,,,,,295.0,,1.16,,1.87,,,,,,1,2,,,S0091,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Diopside,Diopside,Mineral,M2,,,,,295.0,,1.15,,2.14,,,,,,2,2,,,S0091,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Babingtonite,Babingtonite,Mineral,M,,,,,295.0,,0.3,,0.77,,,,,,1,3,,,S0092,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Babingtonite,Babingtonite,Mineral,M,,,,,295.0,,0.4,,0.84,,,,,,2,3,,,S0092,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Babingtonite,Babingtonite,Mineral,M,,,,,295.0,,1.2,,2.41,,,,,,3,3,,,S0092,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Tremolite-actinolite,Tremolite-actinolite,Mineral,M1,,,,,295.0,,1.11,,2.85,,,,,,1,3,,,S0093,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Tremolite-actinolite,Tremolite-actinolite,Mineral,M2,,,,,295.0,,1.12,,1.8,,,,,,2,3,,,S0093,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Tremolite-actinolite,Tremolite-actinolite,Mineral,M3,,,,,295.0,,1.11,,2.4,,,,,,3,3,,,S0093,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Kaersutite,Kaersutite,Mineral,M,,,,,295.0,,1.11,,2.05,,,,,,1,3,,,S0094,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Kaersutite,Kaersutite,Mineral,M,,,,,295.0,,1.06,,2.41,,,,,,2,3,,,S0094,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Kaersutite,Kaersutite,Mineral,M,,,,,295.0,,0.39,,0.87,,,,,,3,3,,,S0094,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Winchite,Winchite,Mineral,M2,,,,,295.0,,1.13,,1.9,,,,,,1,2,,,S0095,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Winchite,Winchite,Mineral,M1+M3,,,,,295.0,,1.13,,2.86,,,,,,2,2,,,S0095,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M,,,,,295.0,,0.35,,0.53,,,,,,1,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M1+M5,,,,,295.0,,1.2,,2.42,,,,,,2,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M4+M7,,,,,295.0,,1.12,,2.02,,,,,,3,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M8,,,,,295.0,,1.03,,1.3,,,,,,4,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M2,,,,,295.0,,0.36,,1.09,,,,,,5,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Surinamite,Surinamite,Mineral,M3+M6+m9,,,,,295.0,,0.31,,0.92,,,,,,6,6,,,S0096,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Clintonite,Clintonite,Mineral,M,,,,,295.0,,0.47,,0.51,,,,,,1,1,,,S0097,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,T,,,,,295.0,,0.25,,0.5,,,,,,1,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,M,,,,,295.0,,1.09,,2.59,,,,,,2,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,M,,,,,295.0,,1.11,,2.33,,,,,,3,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,M,,,,,295.0,,1.14,,2.66,,,,,,4,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,T,,,,,295.0,,0.12,,0.39,,,,,,5,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,M,,,,,295.0,,0.35,,0.4,,,,,,6,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Chlorite,Chlorite,Mineral,M,,,,,295.0,,0.35,,0.65,,,,,,7,7,,,S0098,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Illite,Illite,Mineral,M,,,,,295.0,,1.12,,2.61,,,,,,1,2,,,S0099,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Illite,Illite,Mineral,M,,,,,295.0,,0.36,,0.61,,,,,,2,2,,,S0099,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Phlogopite,Phlogopite,Mineral,M,,,,,295.0,,1.13,,2.57,,,,,,1,4,,,S0100,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Phlogopite,Phlogopite,Mineral,M,,,,,295.0,,1.12,,2.15,,,,,,2,4,,,S0100,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Phlogopite,Phlogopite,Mineral,M,,,,,295.0,,0.4,,0.87,,,,,,3,4,,,S0100,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Phlogopite,Phlogopite,Mineral,T,,,,,295.0,,0.2,,0.75,,,,,,4,4,,,S0100,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Talc,Talc,Mineral,M,,,,,295.0,,1.13,,2.57,,,,,,1,2,,,S0101,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Talc,Talc,Mineral,M,,,,,295.0,,1.12,,2.15,,,,,,2,2,,,S0101,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Kaolinite,Kaolinite,Mineral,M,,,,,295.0,,0.41,,0.46,,,,,,1,2,,,S0102,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
Kaolinite,Kaolinite,Mineral,M,,,,,295.0,,1.11,,2.53,,,,,,2,2,,,S0102,MÖSSBAUER SPECTROSCOPY OF EARTH AND PLANETARY MATERIALS,"M. Darby Dyar, David G. Agresti, Martha W. Schaefer, Christopher A. Grant, Elizabeth C. Sklute",2006,review,10.1146/annurev.earth.34.031405.125049,
